"tr";"tr"
"Home";"Ana Sayfa"
"Back to Home";"Ana Sayfaya Dön"
"Albums";"Albümler"
"Events";"Etkinlikler"
"Sign In or %1$sJoin%2$s";"Giriş Yap ya da %1$sKayıt Ol%2$s"
"Email Address";"E-Posta Adresi"
"Password";"Şifre"
"Newest Members";"Yeni Üyeler"
"Popular Members";"Popüler Üyeler"
"Remember Me";"Beni Hatırla"
"Sign In";"Giriş Yap"
"Sign Up";"Kayıt Ol"
"in %s minute";"%s dakika içinde"
"%s minute ago";"%s dakika önce";"%s dakika önce"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_LIVEUPDATE_OPTION2";"1 dakika"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_LIVEUPDATE_OPTION3";"2 dakika"
"%d hour ago";"%d saat önce";"%d saat önce"
"a few seconds ago";"bir kaç saniye önce"
"%s friend";"%s arkadaş";"%s arkadaş"
"Friends: %s friend";"Arkadaşlar: %s arkadaş"
"";""
"Members";"Üyeler"
"Welcome";"Hoşgeldin"
"_EMAIL_CORE_WELCOME_TITLE";"Hoşgeldin"
"_WELCOME_MESSAGE_STRING";"[COMMUNITY_NAME] sosyal paylaşım sitesine hoşgeldin [VIEWER_TITLE]! Şimdi ne yapmak istersin?"
"Search for People";"Arkadaşlarını Ara"
"Welcome: Search for People";"Hoşgeldin: Arkadaşlarını Ara"
"Search by name or look for classmates and coworkers.";"Adını yazarak arkadaşını aramaya başlayabilirsin."
"Search...";"Ara..."
"Search";"Ara"
"Search:";"Ara:"
"What's New";"Yeni Ne Var"
"What's New!";"Yeni Ne Var?"
"Hi %1$s!";"Merhaba %1$s!"
"View My Profile";"Profiline Bak"
"Edit My Profile";"Profilini Düzenle"
"Browse Members";"Üyeleri Gör"
"View Recent Updates";"Yeni Bildirimleri Gör"
"Post Something...";"Bir Şey Paylaş..."
"Post something...";"Bir şey paylaş..."
"Disable Auto-Refresh";"Otomatik Güncellemeyi Kapat"
"Enable Auto-Refresh";"Otomatik Güncellemeyi Aç"
"refreshing";"güncelleniyor"
"Refresh";"Güncelle"
"Add Video";"Video Ekle"
"Add New Video";"Yeni Video Ekle"
"Add New Category";"Yeni Kategori Ekle"
"Add Network";"Ağ Ekle"
"Add Photos";"Fotoğraf Ekle"
"Add New Photos";"Yeni Fotoğraf Ekle"
"Add Link";"Yeni Bağlantı Ekle"
"Add Item";"Öğe Ekle"
"Add More Photos";"Daha Fazla Fotoğraf Ekle"
"ADD TAG";"ETİKET EKLE"
"Add Tag";"Etiket Ekle"
"Add Photo";"Fotoğraf Ekle"
"Add Category";"Kategori Ekle"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_PHOTO";"Fotoğrafını Ekle"
"Step %d:  Add Your Photo";"Adım %d: Fotoğrafını Ekle"
"Add Your Photo";"Fotoğrafını Ekle"
"Add People";"Kişi Ekle"
"Add Post";"Paylaşım Ekle"
"Insert Emoticons";"İfade Ekle"
"Publish this on Facebook";"Bunu Facebook'ta paylaş"
"Publish this on Twitter";"Bunu Twitter'da paylaş"
"Publish this on ";"Bunu şurada paylaş "
"Do not publish this on Facebook";"Bunu Facebook'ta paylaşma"
"Do not publish this on Twitter";"Bunu Twitter'da paylaşma"
"Do not publish this on LinkedIn";"Bunu LinkedIn'de paylaşma"
"Publish this on LinkedIn";"Bunu LinkedIn'de paylaş"
"ADVADV_SHARE";"Paylaş"
"Close";"Kapat"
"Press Esc to Close";"Kapatmak İçin Esc Tuşuna Bas"
"Everyone";"Herkes"
"Share with %s";"Paylaş: %s"
